iter	Logloss
0	0.6430511189
1	0.6004443688
2	0.5607973796
3	0.5257022834
4	0.4961404314
5	0.4695340538
6	0.4464626791
7	0.4272207071
8	0.4097262493
9	0.3932456527
10	0.3790048136
11	0.3663257898
12	0.3549468855
13	0.3448180909
14	0.3374914949
15	0.3296178956
16	0.3225108725
17	0.3168856759
18	0.3114140074
19	0.3060138838
20	0.3018969407
21	0.2980582371
22	0.2954424939
23	0.2918599818
24	0.2890692995
25	0.2862854901
26	0.2839584162
27	0.2815842934
28	0.2791986799
29	0.2771453125
30	0.2755076411
31	0.2742723532
32	0.2728768969
33	0.2714810797
34	0.2701836006
35	0.2693206844
36	0.2683757077
37	0.2672444882
38	0.2661766734
39	0.2654623654
40	0.264279713
41	0.2635681335
42	0.2626049071
43	0.2615361282
44	0.2608891585
45	0.2603588108
46	0.2596906364
47	0.2588893688
48	0.2584114341
49	0.2578969944
50	0.2572381052
51	0.2568118981
52	0.2563718356
53	0.2553919716
54	0.2548039958
55	0.2541505972
56	0.2534733286
57	0.2527517055
58	0.2520506704
59	0.2514383661
60	0.2509193084
61	0.2504866985
62	0.2499251728
63	0.2494692752
64	0.2490022133
65	0.2486028315
66	0.2482780297
67	0.2478860273
68	0.2471685466
69	0.2467281156
70	0.2464014526
71	0.2462391602
72	0.245946132
73	0.2455953364
74	0.2452811745
75	0.2449990089
76	0.244716005
77	0.2445336001
78	0.2442946381
79	0.2439450883
80	0.2435288294
81	0.243194412
82	0.2429816622
83	0.2426670378
84	0.2423375725
85	0.2417631045
86	0.2413340491
87	0.2408517374
88	0.2406070123
89	0.2403171502
90	0.2399459385
91	0.2397560275
92	0.2395468366
93	0.2393542377
94	0.2391279934
95	0.2389067227
96	0.2387156894
97	0.2384225995
98	0.2382147122
99	0.2379133657
100	0.2377129358
101	0.2375469898
102	0.2372244123
103	0.2368762638
104	0.236539144
105	0.2363548992
106	0.2362042355
107	0.2359389269
108	0.23572047
109	0.2355437046
110	0.2353668524
111	0.2352054633
112	0.2349025031
113	0.2346388736
114	0.2344383683
115	0.234252459
116	0.2341297265
117	0.2337633329
118	0.2335304899
119	0.2333186295
120	0.2330141322
121	0.2328286987
122	0.232439315
123	0.2322761685
124	0.2320966966
125	0.2319733643
126	0.2317559768
127	0.2314950875
128	0.2312313709
129	0.2309741693
130	0.2307734057
131	0.2306487921
132	0.2304899041
133	0.2303084373
134	0.2300999262
135	0.2299509282
136	0.2297222507
137	0.2294871169
138	0.2292629074
139	0.2290181965
140	0.2287115128
141	0.228481461
142	0.2282689385
143	0.2280246656
144	0.227762896
145	0.2275571382
146	0.2273946223
147	0.2272460841
148	0.2269972727
149	0.2268595688
150	0.2267309431
151	0.2265374502
152	0.2263559115
153	0.2261920718
154	0.2258778436
155	0.2257517634
156	0.2256321952
157	0.2254303891
158	0.2252217249
159	0.2250429921
160	0.2248929908
161	0.2247110788
162	0.2246213156
163	0.2245218674
164	0.2243646847
165	0.2241514215
166	0.2239463886
167	0.2238100917
168	0.2236712633
169	0.223503818
170	0.2233834259
171	0.2232101468
172	0.2230558806
173	0.2228990807
174	0.222631779
175	0.2224722989
176	0.222279271
177	0.2221311301
178	0.2219338473
179	0.2217459291
180	0.2213984839
181	0.2212368449
182	0.221066751
183	0.2209061121
184	0.2207625181
185	0.2206612629
186	0.2205087415
187	0.2202756025
188	0.2200853568
189	0.2198962445
190	0.2197563437
191	0.2196167741
192	0.2194509305
193	0.2192902482
194	0.2191345275
195	0.2190289069
196	0.2189260599
197	0.2187386014
198	0.2186109331
199	0.2185022209
200	0.2183806507
201	0.2180123475
202	0.2177987745
203	0.2176555215
204	0.2175399078
205	0.2174183144
206	0.2173174
207	0.217093429
208	0.2169423641
209	0.2167577029
