iter	Passed	Remaining
0	255	53344
1	529	55016
2	778	53692
3	1049	54062
4	1297	53210
5	1552	52773
6	1829	53065
7	1983	50080
8	2255	50373
9	2509	50180
10	2799	50648
11	3056	50433
12	3393	51419
13	3654	51162
14	3891	50586
15	4107	49801
16	4331	49180
17	4566	48707
18	4809	48350
19	5046	47938
20	5270	47430
21	5488	46902
22	5641	45864
23	5858	45399
24	6150	45517
25	6383	45178
26	6610	44806
27	6875	44693
28	7140	44567
29	7384	44304
30	7649	44166
31	7920	44058
32	8179	43873
33	8463	43813
34	8802	44013
35	9102	43993
36	9392	43918
37	9625	43568
38	9866	43259
39	10132	43063
40	10353	42676
41	10575	42301
42	10822	42030
43	11045	41670
44	11273	41336
45	11535	41126
46	11764	40801
47	11999	40499
48	12311	40450
49	12564	40206
50	12821	39973
51	13073	39722
52	13317	39451
53	13582	39238
54	13830	38977
55	14079	38718
56	14311	38414
57	14534	38089
58	14780	37829
59	15042	37606
60	15300	37374
61	15613	37271
62	15834	36947
63	16043	36599
64	16271	36297
65	16483	35964
66	16685	35612
67	16914	35322
68	17136	35017
69	17350	34700
70	17590	34438
71	17814	34143
72	18039	33855
73	18338	33703
74	18721	33699
75	18963	33435
76	19216	33192
77	19475	32958
78	19755	32758
79	20058	32595
80	20316	32356
81	20559	32093
82	20812	31846
83	21071	31606
84	21320	31354
85	21545	31066
86	21870	30920
87	22140	30694
88	22394	30446
89	22656	30208
90	22923	29976
91	23186	29739
92	23429	29475
93	23678	29219
94	23957	29001
95	24266	28816
96	24570	28623
97	24795	28337
98	25132	28178
99	25368	27905
100	25635	27666
101	25863	27385
102	26096	27110
103	26360	26867
104	26592	26592
105	26818	26312
106	27043	26032
107	27268	25753
108	27504	25485
109	27749	25227
110	28118	25078
111	28364	24819
112	28633	24579
113	28865	24307
114	29111	24048
115	29346	23780
116	29596	23525
117	29870	23288
118	30127	23038
119	30408	22806
120	30660	22551
121	30906	22293
122	31225	22086
123	31442	21806
124	31722	21571
125	31993	21328
126	32264	21086
127	32508	20825
128	32759	20569
129	33016	20317
130	33276	20067
131	33509	19801
132	33748	19538
133	33967	19264
134	34302	19056
135	34569	18809
136	34847	18568
137	35145	18336
138	35382	18072
139	35597	17798
140	35822	17530
141	36056	17266
142	36290	17003
143	36512	16734
144	36788	16491
145	37032	16233
146	37323	15995
147	37565	15736
148	37775	15465
149	38026	15210
150	38249	14945
151	38513	14695
152	38835	14468
153	39142	14233
154	39425	13989
155	39739	13755
156	40011	13507
157	40283	13257
158	40626	13031
159	40894	12779
160	41160	12527
161	41429	12275
162	41687	12020
163	41955	11767
164	42223	11515
165	42503	11266
166	42791	11018
167	43065	10766
168	43344	10515
169	43596	10258
170	44106	10059
171	44844	9907
172	45543	9740
173	45897	9496
174	46243	9248
175	46583	8999
176	46932	8750
177	47241	8492
178	47567	8237
179	47971	7995
180	48296	7738
181	48629	7481
182	49052	7237
183	49430	6984
184	49803	6730
185	50148	6470
186	50502	6211
187	50857	5951
188	51231	5692
189	51570	5428
190	51977	5170
191	52349	4907
192	52687	4640
193	53011	4372
194	53419	4109
195	53751	3839
196	54083	3568
197	54422	3298
198	54754	3026
199	55097	2754
200	55437	2482
201	55819	2210
202	56238	1939
203	56573	1663
204	56922	1388
205	57297	1112
206	57741	836
207	58082	558
208	58435	279
209	58773	0
